Year,Denmark,Finland,Iceland,Norway,Sweden
1994,20,29,10,13,16
1995,19,29,11,14,16
1996,18,26,13,13,15
1997,17,27,13,13,14
1998,15,25,12,13,15
1999,15,25,12,14,15
2000,15,24,19,13,13
2001,14,25,14,13,14
2002,14,22,11,12,14
2003,13,22,10,12,13
2004,13,22,13,12,14
2005,12,20,12,12,14
2006,13,21,11,12,14
2007,11,20,13,11,13
2008,12,21,13,11,13
2009,12,21,12,13,14
2010,11,19,16,12,13
2011,11,18,9,13,13
2012,13,17,12,11,13
2013,12,17,16,12,14
2014,12,15,14,11,13
2015,10,14,13,12,13